Date,Open,High,Low,Close,Adj Close,Volume,
2020-03-20,0.9997,1.02,0.9612,0.9974,0.9974,"176,403,807",
2020-03-21,0.9974,1.02,0.9866,1,1,"126,876,763",
2020-03-22,0.9987,1.02,0.9824,1,1,"121,270,445",
2020-03-23,1,1.01,0.9615,0.9906,0.9906,"121,023,307",
2020-03-24,0.9926,1.01,0.9844,0.9967,0.9967,"99,093,903",
2020-03-25,0.9965,1.01,0.989,0.9961,0.9961,"90,639,779",
2020-03-26,0.9961,1.01,0.9921,0.9955,0.9955,"74,199,139",
2020-03-27,0.9946,1.03,0.9873,1.01,1.01,"70,294,393",
2020-03-28,1.01,1.02,0.9926,0.9975,0.9975,"68,505,071",
2020-03-29,0.9973,1.02,0.995,1,1,"44,100,589",
2020-03-30,1,1,0.9867,1,1,"72,482,031",
2020-03-31,1,1.01,0.9911,1,1,"58,324,658",
2020-04-01,1,1.01,0.9693,0.9962,0.9962,"64,274,302",
2020-04-02,0.9991,1.01,0.9752,0.9991,0.9991,"100,717,270",
2020-04-03,1,1.01,0.9959,1,1,"92,076,643",
2020-04-04,1,1.02,0.9891,1,1,"66,737,132",
2020-04-05,1,1.01,0.9963,1,1,"46,929,577",
2020-04-06,1,1.01,0.9889,0.9918,0.9918,"98,264,161",
2020-04-07,0.9911,1.01,0.9892,0.9979,0.9979,"90,899,396",
2020-04-08,0.9977,1.01,0.9856,0.9969,0.9969,"67,314,271",
2020-04-09,0.9957,1.01,0.9929,1,1,"53,788,330",
2020-04-10,1,1.02,0.9916,0.9997,0.9997,"106,680,605",
2020-04-11,0.9997,1.01,0.9822,0.9967,0.9967,"48,812,275",
2020-04-12,0.9956,1.01,0.9879,1.01,1.01,"58,195,873",
2020-04-13,1.01,1.02,0.9898,0.9975,0.9975,"84,118,901",
2020-04-14,0.9975,1,0.9907,0.9959,0.9959,"59,705,182",
2020-04-15,0.9952,1.01,0.9925,1,1,"64,164,216",
2020-04-16,1,1.01,0.9824,1,1,"109,866,330",
2020-04-17,1,1.01,0.9926,1.01,1.01,"55,237,065",
2020-04-18,1.01,1.01,0.9938,0.9985,0.9985,"50,662,859",
2020-04-19,0.9988,1.01,0.9969,1.01,1.01,"52,835,634",
2020-04-20,1.01,1.01,0.9981,1,1,"77,448,181",
2020-04-21,1,1.01,0.9957,1,1,"63,873,327",
2020-04-22,1,1.01,0.993,0.9987,0.9987,"60,364,658",
2020-04-23,0.9981,1.01,0.9731,0.9965,0.9965,"114,030,200",
2020-04-24,0.9951,1.01,0.9898,1.01,1.01,"81,000,653",
2020-04-25,1.01,1.01,0.9947,1,1,"54,025,404",
2020-04-26,1,1.01,0.993,0.9977,0.9977,"61,895,945",
2020-04-27,0.9985,1.01,0.9938,1,1,"73,323,751",
2020-04-28,1,1.01,0.9988,1.01,1.01,"62,625,587",
2020-04-29,1.01,1.01,0.9814,1,1,"182,865,397",
2020-04-30,1,1.02,0.9892,1,1,"205,768,549",
2020-05-01,1,1.01,0.997,1.01,1.01,"129,957,876",
2020-05-02,1.01,1.01,0.9949,1,1,"68,519,405",
2020-05-03,1,1.01,0.9949,1,1,"105,447,159",
2020-05-04,1,1.01,0.9972,1,1,"108,608,684",
2020-05-05,1,1.01,0.9948,0.9991,0.9991,"88,205,407",
2020-05-06,0.9972,1.02,0.9952,1.01,1.01,"109,374,936",
2020-05-07,1.01,1.02,0.987,0.9957,0.9957,"141,005,738",
2020-05-08,0.9957,1.01,0.9903,1,1,"120,005,852",
2020-05-09,1,1,0.9946,1,1,"102,022,505",
2020-05-10,1,1.06,0.9848,1,1,"256,183,963",
2020-05-11,1,1.02,0.9596,0.9997,0.9997,"172,646,716",
2020-05-12,0.9986,1.01,0.9932,1,1,"88,961,029",
2020-05-13,0.9997,1,0.9869,0.9951,0.9951,"85,424,257",
2020-05-14,0.9951,1,0.9861,0.9964,0.9964,"130,241,999",
2020-05-15,0.9957,1.02,0.9932,1,1,"124,328,578",
2020-05-16,1,1.01,0.9971,0.9998,0.9998,"84,494,294",
2020-05-17,0.9998,1.01,0.9906,1,1,"104,868,289",
2020-05-18,1,1.01,0.993,1,1,"145,499,630",
2020-05-19,1,1.01,0.9917,0.9949,0.9949,"174,280,923",
2020-05-20,0.9946,1.01,0.9946,1,1,"176,386,518",
2020-05-21,1,1.01,0.9963,1,1,"223,769,583",
2020-05-22,1.01,1.01,0.999,1,1,"99,473,389",
2020-05-23,1,1.01,0.9961,1.01,1.01,"59,984,120",
2020-05-24,1.01,1.02,0.9957,1,1,"87,209,060",
2020-05-25,1,1.01,0.9955,1,1,"89,994,056",
2020-05-26,1,1.01,0.9941,0.9985,0.9985,"78,743,864",
2020-05-27,0.9985,1.01,0.9907,1,1,"86,406,351",
2020-05-28,1,1.01,0.9923,0.9984,0.9984,"108,451,133",
2020-05-29,0.9978,1.01,0.996,1,1,"90,831,076",
2020-05-30,1,1,0.9931,1,1,"94,552,612",
2020-05-31,1,1.01,0.9961,0.9991,0.9991,"94,608,975",
2020-06-01,0.9997,1,0.9791,0.998,0.998,"130,900,867",
2020-06-02,0.9985,1.03,0.9978,0.9992,0.9992,"235,279,525",
2020-06-03,0.9992,1.01,0.9961,1,1,"96,861,625",
2020-06-04,1,1.01,0.9931,1,1,"114,904,657",
2020-06-05,1,1.01,0.9984,1,1,"89,279,306",
2020-06-06,1,1.01,0.9954,0.9983,0.9983,"67,403,236",
2020-06-07,0.9983,1.01,0.9926,1,1,"91,622,054",
